#RefName	Pos	Coverage
NC_045512.2_RBD	0	65535
NC_045512.2_RBD	1	65535
NC_045512.2_RBD	2	65535
NC_045512.2_RBD	3	65535
NC_045512.2_RBD	4	65535
NC_045512.2_RBD	5	65535
NC_045512.2_RBD	6	65535
NC_045512.2_RBD	7	65535
NC_045512.2_RBD	8	65535
NC_045512.2_RBD	9	65535
NC_045512.2_RBD	10	65535
NC_045512.2_RBD	11	65535
NC_045512.2_RBD	12	65535
NC_045512.2_RBD	13	65535
NC_045512.2_RBD	14	65535
NC_045512.2_RBD	15	65535
NC_045512.2_RBD	16	65535
NC_045512.2_RBD	17	65535
NC_045512.2_RBD	18	65535
NC_045512.2_RBD	19	65535
NC_045512.2_RBD	20	65535
NC_045512.2_RBD	21	65535
NC_045512.2_RBD	22	65535
NC_045512.2_RBD	23	65535
NC_045512.2_RBD	24	65535
NC_045512.2_RBD	25	65535
NC_045512.2_RBD	26	65535
NC_045512.2_RBD	27	65535
NC_045512.2_RBD	28	65535
NC_045512.2_RBD	29	65535
NC_045512.2_RBD	30	65535
NC_045512.2_RBD	31	65535
NC_045512.2_RBD	32	65535
NC_045512.2_RBD	33	65535
NC_045512.2_RBD	34	65535
NC_045512.2_RBD	35	65535
NC_045512.2_RBD	36	65535
NC_045512.2_RBD	37	65535
NC_045512.2_RBD	38	65535
NC_045512.2_RBD	39	65535
NC_045512.2_RBD	40	65535
NC_045512.2_RBD	41	65535
NC_045512.2_RBD	42	65535
NC_045512.2_RBD	43	65535
NC_045512.2_RBD	44	65535
NC_045512.2_RBD	45	65535
NC_045512.2_RBD	46	65535
NC_045512.2_RBD	47	65535
NC_045512.2_RBD	48	65535
NC_045512.2_RBD	49	65535
NC_045512.2_RBD	50	65535
NC_045512.2_RBD	51	65535
NC_045512.2_RBD	52	65535
NC_045512.2_RBD	53	65535
NC_045512.2_RBD	54	65535
NC_045512.2_RBD	55	65535
NC_045512.2_RBD	56	65535
NC_045512.2_RBD	57	65535
NC_045512.2_RBD	58	65535
NC_045512.2_RBD	59	65535
NC_045512.2_RBD	60	65535
NC_045512.2_RBD	61	65535
NC_045512.2_RBD	62	65535
NC_045512.2_RBD	63	65535
NC_045512.2_RBD	64	65535
NC_045512.2_RBD	65	65535
NC_045512.2_RBD	66	65535
NC_045512.2_RBD	67	65535
NC_045512.2_RBD	68	65535
NC_045512.2_RBD	69	65535
NC_045512.2_RBD	70	65535
NC_045512.2_RBD	71	65535
NC_045512.2_RBD	72	65535
NC_045512.2_RBD	73	65535
NC_045512.2_RBD	74	65535
NC_045512.2_RBD	75	65535
NC_045512.2_RBD	76	65535
NC_045512.2_RBD	77	65535
NC_045512.2_RBD	78	65535
NC_045512.2_RBD	79	65535
NC_045512.2_RBD	80	65535
NC_045512.2_RBD	81	65535
NC_045512.2_RBD	82	65535
NC_045512.2_RBD	83	65535
NC_045512.2_RBD	84	65535
NC_045512.2_RBD	85	65535
NC_045512.2_RBD	86	65535
NC_045512.2_RBD	87	65535
NC_045512.2_RBD	88	65535
NC_045512.2_RBD	89	65535
NC_045512.2_RBD	90	65535
NC_045512.2_RBD	91	65535
NC_045512.2_RBD	92	65535
NC_045512.2_RBD	93	65535
NC_045512.2_RBD	94	65535
NC_045512.2_RBD	95	65535
NC_045512.2_RBD	96	65535
NC_045512.2_RBD	97	65535
NC_045512.2_RBD	98	65535
NC_045512.2_RBD	99	65535
NC_045512.2_RBD	100	65535
NC_045512.2_RBD	101	65535
NC_045512.2_RBD	102	65535
NC_045512.2_RBD	103	65535
NC_045512.2_RBD	104	65535
NC_045512.2_RBD	105	65535
NC_045512.2_RBD	106	65535
NC_045512.2_RBD	107	65535
NC_045512.2_RBD	108	65535
NC_045512.2_RBD	109	65535
NC_045512.2_RBD	110	65535
NC_045512.2_RBD	111	65535
NC_045512.2_RBD	112	65535
NC_045512.2_RBD	113	65535
NC_045512.2_RBD	114	65535
NC_045512.2_RBD	115	65535
NC_045512.2_RBD	116	65535
NC_045512.2_RBD	117	65535
NC_045512.2_RBD	118	65535
NC_045512.2_RBD	119	65535
NC_045512.2_RBD	120	65535
NC_045512.2_RBD	121	65535
NC_045512.2_RBD	122	65535
NC_045512.2_RBD	123	65535
NC_045512.2_RBD	124	65535
NC_045512.2_RBD	125	65535
NC_045512.2_RBD	126	65535
NC_045512.2_RBD	127	65535
NC_045512.2_RBD	128	65535
NC_045512.2_RBD	129	65535
NC_045512.2_RBD	130	65535
NC_045512.2_RBD	131	65535
NC_045512.2_RBD	132	65535
NC_045512.2_RBD	133	65535
NC_045512.2_RBD	134	65535
NC_045512.2_RBD	135	65535
NC_045512.2_RBD	136	65535
NC_045512.2_RBD	137	65535
NC_045512.2_RBD	138	65535
NC_045512.2_RBD	139	65535
NC_045512.2_RBD	140	65535
NC_045512.2_RBD	141	65535
NC_045512.2_RBD	142	65535
NC_045512.2_RBD	143	65535
NC_045512.2_RBD	144	65535
NC_045512.2_RBD	145	65535
NC_045512.2_RBD	146	65535
NC_045512.2_RBD	147	65535
NC_045512.2_RBD	148	65535
NC_045512.2_RBD	149	65535
NC_045512.2_RBD	150	65535
NC_045512.2_RBD	151	65535
NC_045512.2_RBD	152	65535
NC_045512.2_RBD	153	65535
NC_045512.2_RBD	154	65535
NC_045512.2_RBD	155	65535
NC_045512.2_RBD	156	65535
NC_045512.2_RBD	157	65535
NC_045512.2_RBD	158	65535
NC_045512.2_RBD	159	65535
NC_045512.2_RBD	160	65535
NC_045512.2_RBD	161	65535
NC_045512.2_RBD	162	65535
NC_045512.2_RBD	163	65535
NC_045512.2_RBD	164	65535
NC_045512.2_RBD	165	65535
NC_045512.2_RBD	166	65535
NC_045512.2_RBD	167	65535
NC_045512.2_RBD	168	65535
NC_045512.2_RBD	169	65535
NC_045512.2_RBD	170	65535
NC_045512.2_RBD	171	65535
NC_045512.2_RBD	172	65535
NC_045512.2_RBD	173	65535
NC_045512.2_RBD	174	65535
NC_045512.2_RBD	175	65535
NC_045512.2_RBD	176	65535
NC_045512.2_RBD	177	65535
NC_045512.2_RBD	178	65535
NC_045512.2_RBD	179	65535
NC_045512.2_RBD	180	65535
NC_045512.2_RBD	181	65535
NC_045512.2_RBD	182	65535
NC_045512.2_RBD	183	65535
NC_045512.2_RBD	184	65535
NC_045512.2_RBD	185	65535
NC_045512.2_RBD	186	65535
NC_045512.2_RBD	187	65535
NC_045512.2_RBD	188	65535
NC_045512.2_RBD	189	65535
NC_045512.2_RBD	190	65535
NC_045512.2_RBD	191	65535
NC_045512.2_RBD	192	65535
NC_045512.2_RBD	193	65535
NC_045512.2_RBD	194	65535
NC_045512.2_RBD	195	65535
NC_045512.2_RBD	196	65535
NC_045512.2_RBD	197	65535
NC_045512.2_RBD	198	65535
NC_045512.2_RBD	199	65535
NC_045512.2_RBD	200	65535
NC_045512.2_RBD	201	65535
NC_045512.2_RBD	202	65535
NC_045512.2_RBD	203	65535
NC_045512.2_RBD	204	65535
NC_045512.2_RBD	205	65535
NC_045512.2_RBD	206	65535
NC_045512.2_RBD	207	65535
NC_045512.2_RBD	208	65535
NC_045512.2_RBD	209	65535
NC_045512.2_RBD	210	65535
NC_045512.2_RBD	211	65535
NC_045512.2_RBD	212	65535
NC_045512.2_RBD	213	65535
NC_045512.2_RBD	214	65535
NC_045512.2_RBD	215	65535
NC_045512.2_RBD	216	65535
NC_045512.2_RBD	217	65535
NC_045512.2_RBD	218	65535
NC_045512.2_RBD	219	65535
NC_045512.2_RBD	220	65535
NC_045512.2_RBD	221	65535
NC_045512.2_RBD	222	65535
NC_045512.2_RBD	223	65535
NC_045512.2_RBD	224	65535
NC_045512.2_RBD	225	65535
NC_045512.2_RBD	226	65535
NC_045512.2_RBD	227	65535
NC_045512.2_RBD	228	65535
NC_045512.2_RBD	229	65535
NC_045512.2_RBD	230	65535
NC_045512.2_RBD	231	65535
NC_045512.2_RBD	232	65535
NC_045512.2_RBD	233	65535
NC_045512.2_RBD	234	65535
NC_045512.2_RBD	235	65535
NC_045512.2_RBD	236	65535
NC_045512.2_RBD	237	65535
NC_045512.2_RBD	238	65535
NC_045512.2_RBD	239	65535
NC_045512.2_RBD	240	65535
NC_045512.2_RBD	241	65535
NC_045512.2_RBD	242	65535
